536.785,546.1824,553.873
546.6391,552.8853,552.8853
550.303,552.8094,558.6982
550.303,554.3946,558.4783
558.2628,560.381,564.4635
564.3889,564.8984,564.4635
571.083,571.083,567.9109
577.9982,579.781,577.3132
584.9723,585.8837,582.7432
591.4488,591.5162,591.4059
594.9752,591.5162,593.8099
593.6103,593.9587,594.6829
590.6106,594.1697,597.996
586.9762,592.2693,597.2568
589.1388,596.1013,606.7039
589.1388,595.6801,606.7768
590.2808,597.0515,607.9669
600.5115,611.1172,624.5317
604.3167,614.9074,624.5317
618.9835,631.3882,627.5721
623.3876,636.2986,644.4664
629.0509,643.3563,650.2538
652.6255,669.4936,675.1296
664.9547,669.4936,686.4457
695.7878,698.8923,698.8923
710.0252,711.008,725.1671
722.7437,723.1716,734.5198
738.6462,741.0952,748.1877
738.6462,744.15,748.3834
742.4263,742.4263,745.0347
738.408,740.1194,742.2314
733.078,734.2637,742.2314
730.4123,732.7158,739.9702
729.2921,731.5256,736.2742
732.8587,732.8587,735.5094
734.3471,736.8248,741.696
733.4395,737.2041,741.0885
732.3719,738.9771,743.7511
729.8736,736.6811,743.1161
730.678,734.8083,742.0459
735.6641,743.0104,751.3981
740.4589,747.6822,755.6066
758.7618,765.7619,765.7619
778.6193,784.368,772.5137
805.184,808.9911,790.1738
838.0455,839.8032,815.1605
867.6837,867.6393,840.0342
896.7103,896.0848,866.71
923.7927,896.0848,892.3651
